validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vis,vis_setor,vis_setor_dir,chuva,trovoada,nevoa_umida,teto,cobertura,tt,po,qnh,ur,vnt_vrb,chuvisco,nevoeiro,nevoa_seca,pancada
"['01:00', '01/01']",01/01 01:00,0,0,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,21,21,1014,100,,,,,
"['02:00', '01/01']",01/01 02:00,80,3,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,21,21,1013,100,,,,,
"['03:00', '01/01']",01/01 03:00,110,2,NIL,9000,NIL,NIL,NIL,NIL,NIL,NIL,NIL,21,20,1013,94,,,,,
"['04:00', '01/01']",01/01 04:00,60,3,NIL,3000,NIL,NIL,NIL,NIL,1,NIL,3,20,20,1012,100,,,,,
"['05:00', '01/01']",01/01 05:00,90,1,NIL,3000,NIL,NIL,NIL,NIL,1,NIL,NIL,20,20,1012,100,,,,,
"['06:00', '01/01']",01/01 06:00,0,0,NIL,3000,NIL,NIL,NIL,NIL,1,NIL,NIL,19,19,1012,100,,,,,
"['07:00', '01/01']",01/01 07:00,80,3,NIL,5000,NIL,NIL,NIL,NIL,1,NIL,NIL,20,20,1012,100,,,,,
"['08:00', '01/01']",01/01 08:00,60,5,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,20,19,1012,94,,,,,
"['09:00', '01/01']",01/01 09:00,0,0,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,20,19,1012,94,,,,,
"['10:00', '01/01']",01/01 10:00,20,5,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,24,19,1012,74,,,,,
"['11:00', '01/01']",01/01 11:00,10,8,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,25,20,1013,74,,,,,
"['12:00', '01/01']",01/01 12:00,340,6,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,2,27,21,1013,70,,,,,
"['13:00', '01/01']",01/01 13:00,310,8,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,2,28,22,1012,70,,,,,
"['14:00', '01/01']",01/01 14:00,300,9,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,3,29,21,1012,62,,,,,
"['15:00', '01/01']",01/01 15:00,300,8,NIL,9999,NIL,NIL,NIL,NIL,NIL,4300,5,31,22,1011,59,,,,,
"['16:00', '01/01']",01/01 16:00,280,10,NIL,9999,NIL,NIL,NIL,NIL,NIL,4900,5,32,20,1011,49,,,,,
"['17:00', '01/01']",01/01 17:00,300,7,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,3,32,20,1010,49,,,,,
"['18:00', '01/01']",01/01 18:00,320,9,NIL,9999,NIL,NIL,NIL,NIL,NIL,4500,5,32,19,1008,46,,,,,
"['19:00', '01/01']",01/01 19:00,300,10,NIL,9999,NIL,NIL,NIL,NIL,NIL,4800,5,33,18,1008,41,,,,,
"['20:00', '01/01']",01/01 20:00,280,9,NIL,9999,NIL,NIL,NIL,NIL,NIL,6000,5,31,19,1007,49,,,,,
"['21:00', '01/01']",01/01 21:00,130,5,NIL,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,26,19,1009,65,,,,,
"['21:30', '01/01']",01/01 21:30,70,6,NIL,9999,NIL,NIL,NIL,1,NIL,6000,5,26,20,1009,70,,,,,
"['22:00', '01/01']",01/01 22:00,260,10,28,9000,3500,225,1,1,NIL,6000,5,24,21,1010,83,,,,,
"['22:20', '01/01']",01/01 22:20,150,3,NIL,8000,NIL,NIL,1,1,NIL,2100,5,21,20,1011,94,,,,,
"['23:00', '01/01']",01/01 23:00,80,5,NIL,8000,NIL,NIL,1,1,NIL,3500,5,21,21,1011,100,,,,,
"['00:00', '02/01']",02/01 00:00,20,10,NIL,8000,NIL,NIL,1,1,NIL,1100,5,21,21,1013,100,,,,,
"['01:00', '02/01']",02/01 01:00,100,3,,7000,NIL,NIL,1,1,NIL,4500,5,21,21,1013,100,,,,,
"['02:00', '02/01']",02/01 02:00,360,5,,9999,NIL,NIL,1,NIL,NIL,NIL,NIL,21,20,1012,94,,,,,
"['03:00', '02/01']",02/01 03:00,0,0,,9999,NIL,NIL,1,NIL,NIL,NIL,NIL,21,21,1012,100,,,,,
"['04:00', '02/01']",02/01 04:00,50,5,,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,22,20,1011,88,,,,,
"['05:00', '02/01']",02/01 05:00,90,2,,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,21,20,1010,94,,,,,
"['06:00', '02/01']",02/01 06:00,NIL,NIL,,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,21,20,1010,94,,,,,
"['07:00', '02/01']",02/01 07:00,80,2,,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,21,21,1010,100,,,,,
"['08:00', '02/01']",02/01 08:00,100,2,,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,21,21,1010,100,,,,,
"['09:00', '02/01']",02/01 09:00,80,3,,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,21,20,1011,94,,,,,
"['10:00', '02/01']",02/01 10:00,40,4,,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,21,21,1012,100,,,,,
"['11:00', '02/01']",02/01 11:00,0,0,,9999,NIL,NIL,1,NIL,NIL,10000,8,22,21,1012,94,,,,,
"['12:00', '02/01']",02/01 12:00,50,3,,9999,NIL,NIL,NIL,NIL,NIL,5000,5,23,20,1012,83,,,,,
"['13:00', '02/01']",02/01 13:00,90,3,,9999,NIL,NIL,NIL,NIL,NIL,5000,5,25,20,1012,74,,,,,
"['14:00', '02/01']",02/01 14:00,270,3,,9999,NIL,NIL,NIL,NIL,NIL,8200,5,26,21,1012,74,,,,,
"['15:00', '02/01']",02/01 15:00,280,5,,9999,NIL,NIL,NIL,NIL,NIL,2600,5,27,20,1012,66,,,,,
"['16:00', '02/01']",02/01 16:00,260,6,,9999,NIL,NIL,NIL,NIL,NIL,NIL,3,27,21,1011,70,,,,,
"['17:00', '02/01']",02/01 17:00,240,6,,9999,NIL,NIL,NIL,NIL,NIL,3300,5,28,21,1010,66,,,,,
"['18:00', '02/01']",02/01 18:00,160,9,,9000,4000,315,1,1,NIL,4500,5,25,22,1010,83,,,,,
"['19:00', '02/01']",02/01 19:00,110,7,,9000,3500,45,1,1,NIL,1400,5,24,21,1010,83,,,,,
"['19:30', '02/01']",02/01 19:30,340,5,,5000,2000,270,1,1,1,500,8,22,22,1011,100,,,,,
"['20:00', '02/01']",02/01 20:00,10,8,,1800,NIL,NIL,1,1,NIL,500,8,20,20,1011,100,,,,,
"['20:10', '02/01']",02/01 20:10,60,5,,6000,NIL,NIL,1,1,NIL,1100,8,20,20,1011,100,,,,,
"['21:00', '02/01']",02/01 21:00,0,0,,6000,NIL,NIL,1,1,NIL,600,8,21,21,1011,100,,,,,
"['21:10', '02/01']",02/01 21:10,280,3,,2500,NIL,NIL,1,1,1,600,8,21,21,1012,100,,,,,
"['22:00', '02/01']",02/01 22:00,360,6,,7000,NIL,NIL,1,1,NIL,500,8,20,20,1013,100,,,,,
"['22:35', '02/01']",02/01 22:35,130,4,,9999,NIL,NIL,1,1,NIL,900,8,20,20,1013,100,,,,,
"['23:00', '02/01']",02/01 23:00,120,3,,6000,NIL,NIL,1,1,NIL,1100,8,20,20,1014,100,,,,,
"['23:22', '02/01']",02/01 23:22,40,5,,9000,NIL,NIL,1,1,NIL,800,8,20,20,1014,100,,,,,
"['00:00', '03/01']",03/01 00:00,350,3,,9999,NIL,NIL,1,1,NIL,2000,8,20,20,1014,100,,,,,
"['00:45', '03/01']",03/01 00:45,220,3,,9999,NIL,NIL,1,1,NIL,1100,8,20,20,1014,100,,,,,
"['01:00', '03/01']",03/01 01:00,160,4,,9999,,,1,1,NIL,900,8,20,20,1014,100,,,,,
"['02:00', '03/01']",03/01 02:00,130,3,,9999,,,NIL,NIL,NIL,700,8,20,20,1014,100,,,,,
"['03:00', '03/01']",03/01 03:00,0,0,,9999,,,NIL,NIL,NIL,10000,8,20,20,1013,100,,,,,
"['04:00', '03/01']",03/01 04:00,0,0,,9000,,,1,NIL,NIL,1300,8,20,20,1013,100,,,,,
"['05:00', '03/01']",03/01 05:00,210,2,,8000,,,1,NIL,NIL,800,5,20,20,1013,100,,,,,
"['06:00', '03/01']",03/01 06:00,0,0,,8000,,,1,NIL,NIL,500,5,20,20,1013,100,,,,,
"['07:00', '03/01']",03/01 07:00,160,2,,9999,,,NIL,NIL,NIL,1300,5,20,20,1012,100,,,,,
"['08:00', '03/01']",03/01 08:00,190,3,,9999,,,NIL,NIL,NIL,2500,5,19,19,1013,100,,,,,
"['09:00', '03/01']",03/01 09:00,240,4,,9999,,,NIL,NIL,NIL,NIL,3,20,20,1014,100,,,,,
"['09:10', '03/01']",03/01 09:10,240,3,,9999,,,NIL,NIL,NIL,1000,5,20,20,1014,100,,,,,
"['10:00', '03/01']",03/01 10:00,230,2,,9999,,,NIL,NIL,NIL,1000,8,20,20,1014,100,,,,,
"['11:00', '03/01']",03/01 11:00,160,2,,9999,,,NIL,NIL,NIL,1000,8,20,20,1015,100,,,,,
"['12:00', '03/01']",03/01 12:00,170,5,,9999,,,NIL,NIL,NIL,1100,8,22,20,1015,88,,,,,
"['13:00', '03/01']",03/01 13:00,220,4,,8000,,,1,NIL,NIL,1300,8,22,20,1015,88,,,,,
"['14:00', '03/01']",03/01 14:00,170,6,,4000,,,1,NIL,1,1100,8,21,20,1016,94,,,,,
"['15:00', '03/01']",03/01 15:00,180,4,,4000,,,1,NIL,NIL,1000,8,21,20,1016,94,,,,,
"['16:00', '03/01']",03/01 16:00,160,3,,9999,,,NIL,NIL,NIL,1500,5,22,20,1015,88,,,,,
"['17:00', '03/01']",03/01 17:00,160,7,,9000,,,NIL,NIL,NIL,1900,8,22,20,1015,88,,,,,
"['18:00', '03/01']",03/01 18:00,170,8,,9999,,,NIL,NIL,NIL,2300,5,23,20,1014,83,,,,,
"['19:00', '03/01']",03/01 19:00,160,7,,9999,,,NIL,NIL,NIL,2300,5,23,19,1013,78,,,,,
"['20:00', '03/01']",03/01 20:00,160,7,,9999,,,NIL,NIL,NIL,2000,5,22,18,1013,78,,,,,
"['21:00', '03/01']",03/01 21:00,180,5,,9999,,,NIL,NIL,NIL,2000,8,21,18,1014,83,,,,,
"['22:00', '03/01']",03/01 22:00,160,5,,9999,,,NIL,NIL,NIL,5000,5,20,18,1014,88,,,,,
"['23:00', '03/01']",03/01 23:00,160,4,,9999,,,NIL,NIL,NIL,NIL,3,20,17,1015,83,,,,,
"['00:00', '04/01']",04/01 00:00,170,2,,9999,,,NIL,NIL,NIL,1700,5,19,18,1015,94,,,,,
"['01:00', '04/01']",04/01 01:00,180,2,,9999,NIL,NIL,NIL,,,NIL,2,19,18,1016,94,,,,,
"['02:00', '04/01']",04/01 02:00,120,2,,9999,NIL,NIL,NIL,,,NIL,2,18,18,1015,100,,,,,
"['03:00', '04/01']",04/01 03:00,100,2,,9999,NIL,NIL,NIL,,,NIL,2,18,18,1014,100,,,,,
"['04:00', '04/01']",04/01 04:00,120,1,,9999,NIL,NIL,NIL,,,1700,5,18,18,1014,100,,,,,
"['05:00', '04/01']",04/01 05:00,0,0,,9999,NIL,NIL,NIL,,,1900,5,18,18,1013,100,,,,,
"['06:00', '04/01']",04/01 06:00,0,0,,9999,NIL,NIL,NIL,,,NIL,3,18,18,1012,100,,,,,
"['07:00', '04/01']",04/01 07:00,0,0,,9999,NIL,NIL,NIL,,,NIL,2,17,17,1012,100,,,,,
"['08:00', '04/01']",04/01 08:00,70,1,,9999,NIL,NIL,NIL,,,NIL,2,18,18,1012,100,,,,,
"['09:00', '04/01']",04/01 09:00,0,0,,9999,NIL,NIL,NIL,,,NIL,NIL,18,18,1013,100,,,,,
"['10:00', '04/01']",04/01 10:00,0,0,,9999,NIL,NIL,NIL,,,NIL,NIL,19,18,1013,94,,,,,
"['11:00', '04/01']",04/01 11:00,290,2,,9999,NIL,NIL,NIL,,,NIL,2,20,19,1013,94,,,,,
"['12:00', '04/01']",04/01 12:00,310,1,,9999,NIL,NIL,NIL,,,NIL,2,22,18,1013,78,,,,,
"['13:00', '04/01']",04/01 13:00,340,2,,9999,NIL,NIL,NIL,,,NIL,2,24,18,1013,69,,,,,
"['14:00', '04/01']",04/01 14:00,0,0,,9999,NIL,NIL,NIL,,,4500,5,23,17,1013,69,,,,,
"['15:00', '04/01']",04/01 15:00,0,0,,9999,NIL,NIL,NIL,,,4500,5,22,19,1013,83,,,,,
"['16:00', '04/01']",04/01 16:00,210,4,,9999,NIL,NIL,NIL,,,2000,5,26,21,1012,74,,,,,
"['17:00', '04/01']",04/01 17:00,220,4,,9999,NIL,NIL,NIL,,,2500,5,26,21,1011,74,,,,,
"['18:00', '04/01']",04/01 18:00,210,3,,9999,NIL,NIL,NIL,,,3000,5,25,20,1010,74,,,,,
"['18:25', '04/01']",04/01 18:25,160,10,,9999,NIL,NIL,NIL,,,1400,8,22,19,1011,83,,,,,
"['19:00', '04/01']",04/01 19:00,130,9,,9999,3000,270,1,,,1300,5,22,19,1011,83,,,,,
"['19:02', '04/01']",04/01 19:02,240,9,,400,NIL,NIL,1,,,NIL,NIL,20,20,1012,100,,,,,
"['19:20', '04/01']",04/01 19:20,180,3,,9000,4000,90,1,,,400,8,20,20,1011,100,,,,,
"['20:00', '04/01']",04/01 20:00,0,0,,9999,NIL,NIL,1,,,1300,8,21,21,1011,100,,,,,
"['21:00', '04/01']",04/01 21:00,170,5,,9999,NIL,NIL,NIL,,,1100,8,20,20,1011,100,,,,,
"['22:00', '04/01']",04/01 22:00,150,4,,9000,NIL,NIL,NIL,,,1100,5,20,19,1012,94,,,,,
"['23:00', '04/01']",04/01 23:00,180,3,,9999,NIL,NIL,NIL,,,1700,8,20,19,1013,94,,,,,
"['23:15', '04/01']",04/01 23:15,160,5,,9999,NIL,NIL,NIL,,,1300,8,20,19,1013,94,,,,,
"['00:00', '05/01']",05/01 00:00,160,5,,9999,NIL,NIL,NIL,,,1100,8,20,19,1013,94,,,,,
"['01:00', '05/01']",05/01 01:00,160,6,,9999,NIL,NIL,NIL,NIL,NIL,1100,8,20,19,1014,94,NIL,1,,,
"['02:00', '05/01']",05/01 02:00,100,3,,9999,NIL,NIL,NIL,NIL,NIL,1100,5,20,19,1014,94,NIL,NIL,,,
"['02:10', '05/01']",05/01 02:10,90,3,,9999,NIL,NIL,NIL,NIL,NIL,NIL,3,20,19,1013,94,NIL,NIL,,,
"['03:00', '05/01']",05/01 03:00,80,3,,9999,NIL,NIL,NIL,NIL,NIL,7000,5,20,19,1013,94,NIL,NIL,,,
"['04:00', '05/01']",05/01 04:00,50,3,,9999,NIL,NIL,NIL,NIL,NIL,NIL,3,19,19,1012,100,NIL,NIL,,,
"['05:00', '05/01']",05/01 05:00,0,0,,9999,NIL,NIL,NIL,NIL,NIL,NIL,2,19,19,1011,100,NIL,NIL,,,
"['06:00', '05/01']",05/01 06:00,160,2,,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,18,18,1010,100,NIL,NIL,,,
"['07:00', '05/01']",05/01 07:00,0,0,,9999,NIL,NIL,NIL,NIL,NIL,900,5,18,18,1010,100,NIL,NIL,,,
"['08:00', '05/01']",05/01 08:00,0,0,,9999,NIL,NIL,NIL,NIL,NIL,NIL,3,18,18,1010,100,NIL,NIL,,,
"['09:00', '05/01']",05/01 09:00,20,4,,9999,NIL,NIL,NIL,NIL,NIL,NIL,3,19,19,1011,100,NIL,NIL,,,
"['10:00', '05/01']",05/01 10:00,50,4,,9000,NIL,NIL,NIL,NIL,NIL,9000,5,20,19,1012,94,NIL,NIL,,,
"['11:00', '05/01']",05/01 11:00,70,3,,9000,NIL,NIL,NIL,NIL,NIL,NIL,3,21,19,1012,88,NIL,NIL,,,
"['12:00', '05/01']",05/01 12:00,100,1,,9999,NIL,NIL,NIL,NIL,NIL,2300,8,22,19,1012,83,NIL,NIL,,,
"['13:00', '05/01']",05/01 13:00,280,3,,9999,NIL,NIL,NIL,NIL,NIL,2000,8,23,19,1012,78,275,NIL,,,
"['14:00', '05/01']",05/01 14:00,330,4,,9999,NIL,NIL,NIL,NIL,NIL,2000,8,23,20,1012,83,NIL,1,,,
"['15:00', '05/01']",05/01 15:00,270,6,,9999,NIL,NIL,NIL,NIL,NIL,5000,5,25,20,1012,74,NIL,NIL,,,
"['16:00', '05/01']",05/01 16:00,0,0,,9999,NIL,NIL,1,NIL,NIL,2000,5,25,21,1011,79,NIL,NIL,,,
"['16:20', '05/01']",05/01 16:20,230,2,,3000,NIL,NIL,1,NIL,1,2300,5,25,21,1011,79,NIL,NIL,,,
"['16:33', '05/01']",05/01 16:33,280,5,,9000,3000,270,1,NIL,NIL,2000,5,21,19,1011,88,NIL,NIL,,,
"['17:00', '05/01']",05/01 17:00,140,1,,9999,4000,225,1,NIL,NIL,1700,5,21,20,1011,94,NIL,NIL,,,
"['18:00', '05/01']",05/01 18:00,140,4,,9000,NIL,NIL,NIL,NIL,NIL,3000,5,25,21,1010,79,NIL,NIL,,,
"['19:00', '05/01']",05/01 19:00,130,5,,8000,NIL,NIL,NIL,NIL,NIL,NIL,3,24,21,1009,83,NIL,NIL,,,
"['19:10', '05/01']",05/01 19:10,110,7,,3000,NIL,NIL,1,NIL,NIL,2000,5,23,21,1010,89,NIL,NIL,,,
"['19:43', '05/01']",05/01 19:43,240,4,,3000,NIL,NIL,1,1,NIL,1100,5,20,20,1010,100,NIL,NIL,,,
"['20:00', '05/01']",05/01 20:00,180,3,,3000,NIL,NIL,1,1,1,1500,5,21,21,1010,100,NIL,NIL,,,
"['20:20', '05/01']",05/01 20:20,130,5,,9999,NIL,NIL,1,1,NIL,800,8,21,21,1010,100,NIL,NIL,,,
"['21:00', '05/01']",05/01 21:00,160,5,,9999,NIL,NIL,1,1,NIL,800,8,21,21,1010,100,NIL,NIL,,,
"['22:00', '05/01']",05/01 22:00,140,2,,9999,NIL,NIL,NIL,NIL,NIL,800,8,21,21,1011,100,NIL,NIL,,,
"['23:00', '05/01']",05/01 23:00,90,5,,9999,NIL,NIL,NIL,NIL,NIL,1000,8,21,21,1012,100,NIL,NIL,,,
"['00:00', '06/01']",06/01 00:00,320,11,,3000,NIL,NIL,1,1,NIL,900,5,20,20,1014,100,NIL,NIL,,,
"['00:35', '06/01']",06/01 00:35,90,4,,8000,NIL,NIL,1,1,NIL,1100,5,19,19,1013,100,NIL,NIL,,,
"['01:00', '06/01']",06/01 01:00,50,9,,8000,,,1,1,,4000,5,19,19,1013,100,,,,,
"['02:00', '06/01']",06/01 02:00,80,4,,9999,,,1,NIL,,9000,5,19,19,1012,100,,,,,
"['03:00', '06/01']",06/01 03:00,70,7,,9999,,,NIL,NIL,,NIL,NIL,19,19,1011,100,,,,,
"['04:00', '06/01']",06/01 04:00,60,6,,9999,,,NIL,NIL,,NIL,2,19,19,1011,100,,,,,
"['05:00', '06/01']",06/01 05:00,70,6,,9999,,,NIL,NIL,,NIL,NIL,19,19,1010,100,,,,,
"['06:00', '06/01']",06/01 06:00,60,4,,9999,,,NIL,NIL,,NIL,2,18,18,1010,100,,,,,
"['07:00', '06/01']",06/01 07:00,70,4,,9999,,,NIL,NIL,,NIL,2,18,18,1010,100,,,,,
"['08:00', '06/01']",06/01 08:00,70,6,,9999,,,NIL,NIL,,NIL,2,18,18,1011,100,,,,,
"['09:00', '06/01']",06/01 09:00,70,5,,9999,,,NIL,NIL,,NIL,2,19,19,1012,100,,,,,
"['10:00', '06/01']",06/01 10:00,80,5,,9999,,,NIL,NIL,,NIL,2,20,20,1012,100,,,,,
"['11:00', '06/01']",06/01 11:00,50,4,,9999,,,NIL,NIL,,NIL,2,23,20,1012,83,,,,,
"['12:00', '06/01']",06/01 12:00,330,9,,9999,,,NIL,NIL,,NIL,3,25,20,1013,74,,,,,
"['13:00', '06/01']",06/01 13:00,310,11,,9999,,,NIL,NIL,,3000,5,26,20,1013,70,,,,,
"['14:00', '06/01']",06/01 14:00,300,10,,9999,,,NIL,NIL,,3000,5,28,21,1016,66,,,,,
"['15:00', '06/01']",06/01 15:00,310,11,,9999,,,NIL,NIL,,NIL,3,28,20,1013,62,,,,,
"['16:00', '06/01']",06/01 16:00,280,13,,9999,,,NIL,NIL,,4000,5,29,19,1012,55,,,,,
"['17:00', '06/01']",06/01 17:00,300,13,,9999,,,NIL,NIL,,4000,5,28,20,1011,62,,,,,
"['18:00', '06/01']",06/01 18:00,260,12,,9999,,,NIL,NIL,,5000,5,30,19,1011,52,,,,,
"['19:00', '06/01']",06/01 19:00,340,9,,9999,,,NIL,NIL,,NIL,3,29,20,1011,58,,,,,
"['20:00', '06/01']",06/01 20:00,320,10,,9999,,,NIL,NIL,,NIL,NIL,29,21,1010,62,,,,,
"['21:00', '06/01']",06/01 21:00,310,7,,9999,,,NIL,NIL,,NIL,NIL,28,21,1011,66,,,,,
"['22:00', '06/01']",06/01 22:00,330,6,,9999,,,NIL,NIL,,NIL,NIL,26,22,1011,79,,,,,
"['23:00', '06/01']",06/01 23:00,340,5,,9999,,,NIL,NIL,,NIL,NIL,25,22,1012,83,,,,,
"['00:00', '07/01']",07/01 00:00,310,4,,9999,,,NIL,NIL,,NIL,NIL,25,21,1013,79,,,,,
"['01:00', '07/01']",07/01 01:00,210,2,,9999,NIL,NIL,NIL,NIL,,NIL,NIL,22,21,1014,94,,,,,
"['02:00', '07/01']",07/01 02:00,330,6,,9999,NIL,NIL,NIL,NIL,,NIL,NIL,24,21,1014,83,,,,,
"['03:00', '07/01']",07/01 03:00,80,3,,9999,NIL,NIL,NIL,NIL,,NIL,NIL,22,21,1014,94,,,,,
"['04:00', '07/01']",07/01 04:00,50,7,,9999,NIL,NIL,NIL,NIL,,NIL,NIL,22,19,1013,83,,,,,
"['05:00', '07/01']",07/01 05:00,90,3,,9999,NIL,NIL,NIL,NIL,,NIL,NIL,22,20,1013,88,,,,,
"['06:00', '07/01']",07/01 06:00,0,0,,9999,NIL,NIL,NIL,NIL,,NIL,NIL,20,19,1013,94,,,,,
"['07:00', '07/01']",07/01 07:00,0,0,,9999,NIL,NIL,NIL,NIL,,NIL,NIL,19,19,1013,100,,,,,
"['08:00', '07/01']",07/01 08:00,0,0,,9999,NIL,NIL,NIL,NIL,,NIL,NIL,19,19,1014,100,,,,,
"['09:00', '07/01']",07/01 09:00,80,2,,9999,NIL,NIL,NIL,NIL,,NIL,NIL,21,19,1014,88,,,,,
"['10:00', '07/01']",07/01 10:00,160,2,,9999,NIL,NIL,NIL,NIL,,NIL,NIL,24,20,1015,78,,,,,
"['11:00', '07/01']",07/01 11:00,330,8,,9999,NIL,NIL,NIL,NIL,,NIL,NIL,26,21,1015,74,,,,,
"['12:00', '07/01']",07/01 12:00,330,7,,9999,NIL,NIL,NIL,NIL,,NIL,NIL,28,21,1015,66,,,,,
"['13:00', '07/01']",07/01 13:00,320,8,,9999,NIL,NIL,NIL,NIL,,NIL,3,29,21,1015,62,,,,,
"['14:00', '07/01']",07/01 14:00,300,11,,9999,NIL,NIL,NIL,NIL,,NIL,3,30,22,1014,62,,,,,
"['15:00', '07/01']",07/01 15:00,300,12,,9999,NIL,NIL,NIL,NIL,,4000,5,31,22,1014,59,,,,,
"['16:00', '07/01']",07/01 16:00,330,14,,9999,NIL,NIL,NIL,NIL,,4500,5,32,21,1013,52,,,,,
"['17:00', '07/01']",07/01 17:00,310,8,,9999,NIL,NIL,NIL,NIL,,4500,5,31,20,1012,52,,,,,
"['18:00', '07/01']",07/01 18:00,310,9,,9999,NIL,NIL,NIL,NIL,,4500,5,33,21,1011,49,,,,,
"['19:00', '07/01']",07/01 19:00,310,8,,9999,NIL,NIL,NIL,NIL,,4500,5,32,20,1011,49,,,,,
"['20:00', '07/01']",07/01 20:00,280,8,,9999,NIL,NIL,NIL,NIL,,NIL,NIL,31,21,1011,55,,,,,
"['21:00', '07/01']",07/01 21:00,320,6,,9999,NIL,NIL,NIL,NIL,,NIL,NIL,30,21,1011,59,,,,,
"['22:00', '07/01']",07/01 22:00,310,3,,9999,NIL,NIL,NIL,NIL,,NIL,NIL,29,21,1012,62,,,,,
"['23:00', '07/01']",07/01 23:00,110,7,,9999,NIL,NIL,NIL,NIL,,5000,5,27,21,1013,70,,,,,
"['23:28', '07/01']",07/01 23:28,0,0,,9000,NIL,NIL,1,1,,3300,5,25,22,1014,83,,,,,
"['23:37', '07/01']",07/01 23:37,260,11,,8000,3500,225,1,1,,1900,5,24,23,1014,94,,,,,
"['00:00', '08/01']",08/01 00:00,230,4,,7000,NIL,NIL,1,1,,1500,5,23,23,1015,100,,,,,
"['01:00', '08/01']",08/01 01:00,320,4,NIL,7000,,,1,1,NIL,2300,5,21,21,1016,100,,,,,
"['02:00', '08/01']",08/01 02:00,160,2,NIL,8000,,,1,1,NIL,NIL,NIL,21,21,1016,100,,,,,
"['03:00', '08/01']",08/01 03:00,0,0,NIL,8000,,,1,NIL,NIL,4500,5,21,21,1015,100,,,,,
"['04:00', '08/01']",08/01 04:00,50,7,NIL,9999,,,1,NIL,NIL,2000,8,22,22,1015,100,,,,,
"['05:00', '08/01']",08/01 05:00,70,2,NIL,9999,,,NIL,NIL,NIL,NIL,3,22,22,1013,100,,,,,
"['06:00', '08/01']",08/01 06:00,40,4,NIL,9999,,,NIL,NIL,NIL,NIL,NIL,21,21,1013,100,,,,,
"['07:00', '08/01']",08/01 07:00,40,2,NIL,9999,,,NIL,NIL,NIL,NIL,NIL,21,21,1013,100,,,,,
"['08:00', '08/01']",08/01 08:00,0,0,NIL,9999,,,NIL,NIL,NIL,NIL,NIL,22,21,1013,94,,,,,
"['09:00', '08/01']",08/01 09:00,20,3,NIL,9999,,,NIL,NIL,NIL,NIL,NIL,22,21,1014,94,,,,,
"['10:00', '08/01']",08/01 10:00,110,1,NIL,9999,,,NIL,NIL,NIL,NIL,NIL,22,22,1015,100,,,,,
"['11:00', '08/01']",08/01 11:00,190,2,NIL,9999,,,NIL,NIL,NIL,NIL,NIL,24,21,1016,83,,,,,
"['12:00', '08/01']",08/01 12:00,270,4,NIL,9999,,,NIL,NIL,NIL,NIL,2,26,21,1016,74,,,,,
"['13:00', '08/01']",08/01 13:00,0,0,NIL,9999,,,NIL,NIL,NIL,NIL,3,26,22,1016,79,,,,,
"['14:00', '08/01']",08/01 14:00,290,9,NIL,9999,,,NIL,NIL,NIL,2300,5,27,22,1016,74,,,,,
"['15:00', '08/01']",08/01 15:00,320,6,NIL,9999,,,NIL,NIL,NIL,2300,5,27,23,1016,79,,,,,
"['16:00', '08/01']",08/01 16:00,290,9,NIL,9999,,,NIL,NIL,NIL,NIL,3,29,22,1015,66,,,,,
"['17:00', '08/01']",08/01 17:00,290,9,NIL,9999,,,NIL,NIL,NIL,3300,5,30,22,1013,62,,,,,
"['18:00', '08/01']",08/01 18:00,290,7,NIL,9999,,,NIL,NIL,NIL,4000,5,30,21,1012,59,,,,,
"['19:00', '08/01']",08/01 19:00,310,12,NIL,9999,,,1,NIL,NIL,3500,5,28,22,1012,70,,,,,
"['19:08', '08/01']",08/01 19:08,320,11,NIL,9000,,,1,1,NIL,3500,5,27,23,1012,79,,,,,
"['20:00', '08/01']",08/01 20:00,350,10,NIL,9000,,,1,1,NIL,7000,5,25,22,1012,83,,,,,
"['20:34', '08/01']",08/01 20:34,170,11,21,3000,,,1,1,NIL,1500,5,22,20,1014,88,,,,,
"['20:48', '08/01']",08/01 20:48,230,4,NIL,900,,,1,1,NIL,1100,5,21,21,1014,100,,,,,
"['21:00', '08/01']",08/01 21:00,190,4,NIL,900,,,1,1,NIL,1100,5,21,21,1014,100,,,,,
