"icao","semana","avistamento","colisao","quase_colisao"
"SBAE",3,0,1,0
"SBAE",12,0,1,0
"SBAE",34,0,1,0
"SBAE",40,0,1,0
"SBAN",16,1,0,0
"SBAR",3,0,1,0
"SBAR",8,0,1,0
"SBAR",9,0,1,0
"SBAR",12,0,1,0
"SBAR",13,1,1,0
"SBAR",17,0,2,0
"SBAR",20,0,1,0
"SBAR",21,1,0,0
"SBAR",22,0,1,0
"SBAR",24,1,0,0
"SBAR",27,0,1,0
"SBAR",29,0,1,0
"SBAR",30,0,1,0
"SBAR",31,0,2,0
"SBAR",34,1,0,0
"SBAR",35,0,1,0
"SBAR",36,0,1,0
"SBAR",39,0,1,0
"SBAR",41,0,2,0
"SBAR",43,0,2,1
"SBAR",45,1,0,0
"SBAR",46,0,2,0
"SBAR",47,2,0,0
"SBAR",48,3,1,0
"SBAR",49,1,0,0
"SBAT",17,0,2,0
"SBAT",19,1,0,0
"SBAU",1,0,1,0
"SBAU",3,0,2,0
"SBAU",9,0,1,0
"SBAU",10,0,1,0
"SBAU",38,0,1,0
"SBAU",43,0,1,0
"SBBE",1,0,2,0
"SBBE",3,0,3,0
"SBBE",4,0,2,0
"SBBE",6,1,2,0
"SBBE",7,0,5,0
"SBBE",8,2,2,0
"SBBE",9,0,1,0
"SBBE",10,0,3,0
"SBBE",11,2,4,0
"SBBE",13,1,0,0
"SBBE",14,1,3,0
"SBBE",15,1,1,0
"SBBE",16,1,1,0
"SBBE",17,0,1,0
"SBBE",20,0,2,0
"SBBE",21,0,1,0
"SBBE",22,0,2,0
"SBBE",23,1,1,0
"SBBE",24,0,1,0
"SBBE",25,1,1,0
"SBBE",26,0,2,0
"SBBE",27,0,1,0
"SBBE",28,0,2,0
"SBBE",29,0,1,0
"SBBE",31,0,1,0
"SBBE",32,0,1,0
"SBBE",34,0,2,0
"SBBE",35,1,1,0
"SBBE",37,0,1,0
"SBBE",38,1,2,0
"SBBE",39,0,1,0
"SBBE",40,0,2,0
"SBBE",41,0,1,0
"SBBE",43,1,0,1
"SBBE",44,0,1,0
"SBBE",47,3,1,0
"SBBE",48,0,1,0
"SBBE",49,0,2,0
"SBBE",50,0,1,0
"SBBH",5,1,0,0
"SBBH",6,1,0,0
"SBBH",7,1,0,0
"SBBH",11,1,0,0
"SBBH",16,1,0,0
"SBBI",18,1,0,0
"SBBI",47,1,0,0
"SBBR",1,7,0,0
"SBBR",2,11,2,0
"SBBR",3,16,2,0
"SBBR",4,17,2,0
"SBBR",5,7,1,0
"SBBR",6,6,2,0
"SBBR",7,14,0,0
"SBBR",8,4,0,0
"SBBR",9,2,0,0
"SBBR",10,0,2,0
"SBBR",13,0,1,0
"SBBR",14,0,1,0
"SBBR",18,0,6,0
"SBBR",19,0,2,0
"SBBR",20,0,1,0
"SBBR",23,0,3,0
"SBBR",27,0,1,0
"SBBR",28,0,2,0
"SBBR",29,0,2,0
"SBBR",30,0,3,0
